Date Local,"(1, 9, 1)","(1, 11, 1)","(1, 12, 1)","(1, 13, 1)","(1, 15, 1)","(7, 2, 1)","(7, 8, 3)","(13, 2, 1)","(13, 1002, 1)","(13, 1004, 1)","(19, 7, 1)","(19, 8, 3)","(19, 11, 3)","(19, 242, 1)","(19, 2009, 3)","(19, 2016, 1)","(19, 5001, 1)","(23, 1004, 1)","(23, 1005, 1)","(25, 5, 1)","(25, 5, 3)","(25, 1003, 1)","(27, 2, 1)","(29, 2012, 1)","(29, 5002, 3)","(37, 2, 1)","(37, 16, 2)","(37, 113, 1)","(37, 1002, 1)","(37, 1103, 1)","(37, 1103, 9)","(37, 1201, 1)","(37, 1302, 1)","(37, 1602, 1)","(37, 1701, 1)","(37, 2005, 1)","(37, 4002, 1)","(37, 4006, 1)","(37, 5005, 1)","(37, 6012, 1)","(37, 9033, 1)","(39, 4, 3)","(41, 1, 1)","(53, 1003, 1)","(55, 3, 1)","(55, 4, 1)","(59, 7, 1)","(59, 8, 1)","(59, 1003, 1)","(59, 2022, 1)","(59, 5001, 1)","(65, 1003, 1)","(65, 5001, 1)","(65, 8001, 1)","(65, 8001, 9)","(65, 8005, 1)","(65, 9001, 1)","(67, 2, 1)","(67, 6, 1)","(67, 7, 1)","(67, 14, 1)","(67, 15, 1)","(71, 1, 1)","(71, 26, 1)","(71, 306, 1)","(71, 1004, 1)","(71, 2002, 1)","(71, 9004, 1)","(71, 9011, 3)","(73, 3, 3)","(73, 77, 1)","(73, 1002, 1)","(73, 1010, 1)","(73, 1017, 1)","(73, 1018, 1)","(73, 1022, 1)","(75, 5, 1)","(77, 1002, 1)","(77, 1002, 3)","(77, 1003, 3)","(81, 1001, 1)","(83, 11, 3)","(83, 1008, 1)","(83, 1008, 3)","(83, 1025, 1)","(83, 2004, 1)","(83, 2011, 1)","(83, 4003, 1)","(85, 5, 1)","(85, 6, 1)","(85, 2009, 1)","(95, 4, 1)","(97, 3, 1)","(97, 4, 1)","(99, 5, 1)","(99, 5, 3)","(99, 6, 1)","(101, 4, 3)"
2012-01-01,0.378261,0.613043,,,,0.6,,0.347826,0.326087,0.330435,0.781818,1.450435,,0.690909,,,1.054545,0.352632,0.234783,2.108696,,1.177273,,,,0.226087,0.23913,0.727273,0.781818,0.708696,0.566217,1.43913,1.868182,1.259091,0.672727,0.636364,1.168182,1.186364,0.804348,0.204348,0.313043,,0.552174,0.543478,0.934783,,1.395455,,0.8,0.327273,1.513636,0.477273,0.281818,0.331818,0.295955,0.452174,0.178261,0.8,,0.991304,0.545833,,0.4,,1.126087,0.5,0.516667,0.690909,,1.207542,,1.913043,1.334783,,,,0.365217,0.291304,,,0.773913,,0.282609,,0.186957,0.186957,0.36087,0.227273,0.861045,,0.491667,0.469565,0.786957,,0.443478,,0.631818,
2012-01-02,0.6,0.83913,,,,0.747826,,0.417391,0.378261,0.508696,0.654545,0.778667,,0.454545,,,0.590909,0.208696,0.286957,1.065217,,1.117391,,,,0.334783,0.252174,0.531818,0.804348,0.826087,0.675652,1.065217,0.652174,0.972727,0.581818,0.645455,0.618182,0.55,0.413043,0.221739,0.308696,,0.582609,0.608333,0.93913,,1.154545,,0.43913,0.463636,1.245455,0.490909,0.231818,0.345455,0.307136,0.552174,0.15,0.83913,,0.854167,0.517391,,0.452174,,1.226087,0.495455,0.383333,0.581818,,0.810409,,1.108696,1.108696,,,,0.421739,0.6,,,0.930435,,0.304348,,0.13,0.166667,0.357143,0.22381,0.793727,,0.583333,0.591304,0.752174,,0.43913,,0.472727,
2012-01-03,0.695455,1.013043,,,,0.752174,,0.490909,0.36087,0.469565,0.777273,0.89513,,0.3875,,,0.71,0.309524,0.3,1.691304,,1.334783,,,,0.35,0.290909,0.75,1.268182,0.963636,0.796435,1.254545,2.045455,1.177273,0.814286,0.890909,1.272727,1.477273,0.677273,0.345455,0.521739,,0.56087,0.6375,0.96087,,1.536364,,1.0,0.490909,1.490909,0.819048,0.213636,0.618182,0.5925,0.859091,0.213636,0.891304,,1.2,0.55,,0.408696,,1.165217,0.55,0.604348,0.636364,,0.935292,,1.213043,1.278261,,,,0.443478,0.709091,,,0.957143,,0.363636,,0.13913,0.204348,0.33913,0.2,1.263318,,0.6,0.947826,0.717391,,0.66087,,0.58125,
2012-01-04,1.108696,1.178261,,,,0.817391,,0.491304,0.43913,0.488235,0.527273,0.98675,,0.509091,,,0.754545,0.304545,0.283333,1.573913,,1.286957,,,,0.259091,0.254545,0.447826,1.090909,0.833333,,1.386957,1.913636,1.019048,0.727273,0.714286,1.445455,1.427273,0.605263,0.245455,0.5,,0.621739,0.595833,1.06087,,1.738095,,1.247826,0.431818,1.295455,0.740909,0.25,0.377273,0.355364,0.726087,0.195,0.895652,,1.3125,0.704348,,0.347826,,1.2,0.527273,0.5625,0.609091,,0.853,,1.313043,1.291304,,,,0.452174,0.504348,,,1.073913,,0.313636,,0.134783,0.313043,0.326087,0.182609,1.319818,,0.595652,0.945455,0.913043,,0.682609,,0.595455,
2012-01-05,0.52381,0.869565,,,,0.865217,,0.378261,0.317391,0.630435,0.809091,0.987565,,0.5,,,0.731818,0.15,0.308333,1.734783,,1.378261,,,,0.417391,0.330435,0.586957,1.23913,0.933333,,1.286957,1.317391,0.813636,0.756522,0.763636,1.054545,1.195455,0.494118,0.334783,0.508696,,0.491304,0.591667,0.965217,,0.895455,,1.16087,0.247059,0.936364,0.886364,0.222727,0.581818,0.565727,0.738095,0.230435,0.991304,,1.2,0.7,,0.290476,,1.226087,0.595652,0.479167,0.640909,,0.712375,,1.295238,1.134783,,,,0.430435,0.643478,,,0.74375,,0.3,,0.143478,0.178261,0.395652,0.191304,0.900727,,0.433333,0.595,0.869565,,0.9,,0.577273,
2012-01-06,0.413043,0.673913,,,,0.93913,,0.356522,0.343478,0.6,0.631818,0.705,,0.436364,,,0.695455,0.182609,0.308696,2.433333,,1.326087,,,,0.536364,0.452174,0.813043,1.23913,1.227273,,1.609091,1.804348,1.059091,0.76087,0.959091,1.213636,1.345455,0.843478,0.6,0.23913,,0.552174,0.591667,1.0,,0.727273,,0.508696,0.331818,0.886364,0.904545,0.222727,0.8,0.762818,1.075,0.304348,0.869565,,1.008333,0.586957,,0.204545,,1.03913,0.682609,0.5875,0.833333,,0.762227,,1.195,0.882609,,,,0.46,0.482609,,,0.708696,,0.252174,,0.169565,0.186957,0.23913,0.2,0.688045,,0.394444,0.778261,0.8,,0.84,,0.538095,
2012-01-07,0.552174,0.895652,,,,0.26087,,0.304348,0.23913,0.36087,0.645455,0.804667,,0.359091,,,0.595455,0.268182,0.3125,1.947826,,1.26087,,,,0.778261,0.734783,0.672727,0.968182,0.904348,,1.204348,0.668182,0.818182,0.773913,0.840909,0.604545,0.613636,0.521739,0.227273,0.126087,,0.6,0.621739,0.652174,,0.468182,,0.252174,0.181818,0.545455,0.552174,0.177273,0.682609,0.625409,0.543478,0.230435,0.508696,,0.417391,0.233333,,0.145455,,1.056522,0.72,0.483333,0.618182,,0.527583,,0.817391,0.613043,,,,0.317391,0.204348,,,0.678261,,0.230435,,0.2,0.134783,0.282609,0.186957,0.713409,,0.308696,0.878261,0.621739,,,,0.268182,
2012-01-08,0.386957,0.543478,,,,0.486957,,0.256522,0.373913,0.382609,0.522727,0.839174,,0.345455,,,0.686364,0.4,0.365217,0.73913,,1.131818,,,,0.382609,0.356522,0.445455,0.617391,0.934783,,0.23913,2.335294,1.163636,0.482609,0.613636,1.113636,1.204545,0.665217,0.152174,0.221739,,0.565217,0.56087,0.821739,,0.540909,,0.356522,0.109091,0.818182,0.177273,0.127273,0.16087,0.131909,0.0,0.026087,0.913043,,0.845833,0.434783,,0.145455,,0.973913,0.356522,0.1,0.240909,,0.606,,0.908696,0.9,,,,0.33913,0.469565,,,0.447826,,0.295652,,0.147826,0.143478,0.221739,0.117391,0.627818,,0.291304,0.817391,0.713043,,,,0.590909,
2012-01-09,0.668421,1.134783,,,,0.721739,,0.534783,0.613043,0.517391,0.628571,0.987958,,0.395455,,,0.804545,0.357143,0.366667,1.669565,,1.173913,,,,0.421739,0.373913,0.559091,0.904348,0.804348,0.693136,0.873913,1.6,1.136364,0.617391,0.586364,1.188889,1.295455,0.765217,0.282609,0.427273,,0.678261,0.579167,0.881818,,1.018182,,0.8,0.3,0.886364,0.63913,0.181818,0.469565,0.4345,0.317391,0.169565,1.121739,,1.573913,0.745833,,0.273913,,1.156522,0.517391,0.3125,0.495238,,0.704708,,1.091304,1.145455,,,,0.586957,0.717391,,,1.017391,,0.32381,,0.155,0.080952,0.271429,0.155,1.106364,,0.473913,1.143478,1.052174,,2.028571,,0.765,
2012-01-10,0.891304,1.171429,,,,0.636842,,0.578261,0.473913,0.53913,0.663636,0.750565,,0.311111,,,0.595455,,0.4,2.065217,,1.109091,,,,0.604545,0.5,0.636364,1.218182,1.031818,0.8985,0.959091,1.415789,0.938095,0.768182,0.709091,1.073684,1.077273,0.835294,0.47,0.456522,,0.682609,0.529167,0.83913,,0.836364,,0.710526,0.340909,0.968182,0.768182,0.204545,0.65,0.620455,0.72,0.309524,0.93913,,1.391667,0.582609,,0.365217,,1.086957,0.645455,0.604348,0.77619,,0.753682,,0.966667,1.21,,,,0.686957,0.673913,,,1.06087,,0.308696,,0.2,0.104348,0.3,0.173913,1.107682,,0.534783,0.813043,1.082609,,0.773913,,0.633333,
