Date Local,"(1, 7, 1)","(1, 9, 1)","(1, 11, 1)","(1, 12, 1)","(1, 13, 1)","(1, 15, 1)","(1, 2005, 1)","(7, 2, 1)","(7, 8, 1)","(13, 2, 1)","(13, 1002, 1)","(13, 1004, 1)","(13, 2007, 1)","(19, 7, 1)","(19, 8, 1)","(19, 11, 1)","(19, 11, 3)","(19, 242, 1)","(19, 2016, 1)","(19, 4001, 1)","(19, 5001, 1)","(23, 1004, 1)","(23, 1005, 1)","(25, 5, 1)","(25, 1003, 1)","(29, 7, 1)","(29, 14, 1)","(29, 2012, 1)","(29, 2019, 1)","(29, 6001, 1)","(31, 1004, 1)","(37, 2, 2)","(37, 16, 1)","(37, 113, 1)","(37, 1002, 2)","(37, 1103, 1)","(37, 1103, 3)","(37, 1201, 2)","(37, 1302, 1)","(37, 1602, 1)","(37, 1701, 2)","(37, 2005, 1)","(37, 4002, 2)","(37, 4006, 1)","(37, 4008, 1)","(37, 4009, 1)","(37, 4010, 1)","(37, 5005, 1)","(37, 6012, 1)","(37, 9033, 1)","(39, 4, 1)","(41, 1, 1)","(47, 3, 1)","(53, 1003, 1)","(55, 3, 1)","(55, 4, 1)","(59, 7, 5)","(59, 8, 1)","(59, 1003, 1)","(59, 5001, 2)","(61, 6, 1)","(65, 9, 1)","(65, 12, 1)","(65, 1003, 3)","(65, 1016, 1)","(65, 5001, 2)","(65, 8001, 2)","(65, 8001, 3)","(65, 8005, 1)","(65, 9001, 1)","(67, 2, 1)","(67, 6, 1)","(67, 10, 1)","(67, 10, 3)","(67, 11, 1)","(67, 12, 1)","(67, 14, 1)","(67, 15, 1)","(71, 1, 1)","(71, 26, 1)","(71, 27, 1)","(71, 306, 1)","(71, 1004, 2)","(71, 1234, 1)","(71, 2002, 1)","(71, 9004, 1)","(73, 1, 1)","(73, 1, 2)","(73, 3, 1)","(73, 6, 1)","(73, 1002, 1)","(73, 1006, 1)","(73, 1006, 2)","(73, 1008, 1)","(73, 1008, 2)","(73, 1010, 1)","(73, 1014, 1)","(73, 1014, 2)","(73, 1016, 1)","(73, 1016, 2)","(73, 1017, 1)","(73, 1017, 2)","(73, 1018, 1)","(73, 1022, 1)","(73, 1022, 2)","(73, 1026, 1)","(73, 1026, 2)","(73, 2007, 1)","(75, 5, 1)","(77, 1002, 2)","(77, 1003, 1)","(77, 3005, 1)","(79, 3001, 1)","(79, 4002, 1)","(79, 8001, 1)","(79, 8002, 1)","(81, 1001, 1)","(83, 8, 1)","(83, 11, 1)","(83, 1008, 1)","(83, 1013, 1)","(83, 1014, 1)","(83, 1018, 1)","(83, 1021, 1)","(83, 1025, 1)","(83, 2004, 1)","(83, 2011, 1)","(83, 4003, 1)","(85, 5, 1)","(85, 6, 1)","(85, 2009, 1)","(95, 4, 1)","(97, 3, 1)","(97, 4, 1)","(99, 6, 1)","(101, 3, 1)","(107, 2002, 1)","(107, 2003, 1)","(111, 2002, 1)","(111, 3001, 1)","(113, 4, 1)"
2012-01-01,10.527273,11.126087,24.504348,,,,3.221739,12.391304,,9.169565,10.286957,7.795652,8.617391,20.636364,29.514286,,,17.272727,,13.47619,25.263158,7.015789,0.7,18.043478,13.136364,12.26087,21.434783,,,17.521739,14.454545,8.869565,1.873913,23.690909,24.15,27.682609,,,34.654545,,22.118182,25.4,33.45,34.831818,,,,22.156522,7.043478,19.608696,11.571429,19.065217,9.238095,6.304348,13.591304,,33.863636,,30.347826,31.018182,14.913043,8.273913,11.240909,,,19.154545,17.095455,,,13.673913,14.217391,15.375,18.913043,,7.565217,5.791667,12.833333,,26.608696,,,20.869565,,17.0,19.7,,25.043478,,22.416667,21.565217,22.782609,1.217391,,13.923077,,30.782609,,,,,,,,,,,,25.086957,21.447826,14.217391,,8.5,,,10.913043,,15.056522,3.608696,16.0,6.173913,3.130435,0.0,2.434783,3.478261,3.391304,7.826087,10.130435,1.863636,22.35,,16.021739,8.826087,13.882609,,11.157895,15.956522,23.913043,,4.727273,10.045455,11.272727
2012-01-02,21.195455,24.347826,27.656522,,,,5.526087,15.913043,,15.173913,12.482609,16.908696,16.456522,17.863636,22.128571,,,14.136364,,15.571429,19.1,4.426087,0.769565,18.913043,13.1,18.608696,18.521739,,,14.391304,12.318182,16.904348,3.913043,18.531818,19.7,33.06087,,,26.313043,,26.104545,27.645455,21.627273,23.663636,,,,9.334783,9.486957,21.173913,12.142857,19.652174,9.722222,9.583333,15.256522,,33.204545,,21.343478,37.881818,22.086957,8.7,12.745455,,,15.690909,24.031818,,,16.595652,20.73913,19.125,23.695652,,8.333333,9.73913,17.434783,,31.347826,,,24.782609,,18.695652,17.4,,23.173913,,25.409091,26.304348,25.652174,2.956522,,15.666667,,28.521739,,,,,,,,,,,,25.956522,25.9,21.173913,,14.272727,,,11.73913,,19.352174,4.47619,18.545455,12.304348,3.391304,0.652174,3.380952,2.952381,2.05,7.047619,12.761905,1.095238,25.813636,,17.626087,14.934783,15.895652,,17.318182,17.173913,20.565217,,13.73913,8.869565,12.318182
2012-01-03,22.736364,20.922727,27.147826,,,,4.578261,16.304348,,16.336364,11.734783,14.513043,14.617391,19.0,23.425,,,13.6875,,13.857143,18.8,7.004545,0.45,24.869565,20.243478,8.608696,22.565217,,,17.826087,11.772727,22.468182,8.25,29.018182,25.4,40.040909,,,39.65,,33.309524,34.886364,48.081818,47.495455,,,,23.277273,17.7,27.217391,12.636364,21.530435,14.35,12.5,12.930435,,41.054545,,28.795238,42.281818,24.478261,10.159091,21.172222,,,18.177273,34.227273,,,23.613636,18.217391,21.5,26.043478,,14.217391,8.125,14.041667,,29.347826,,,25.0,,16.384615,25.5,,28.043478,,28.541667,32.73913,27.130435,7.304348,,13.863636,,30.913043,,,39.142857,,,,,,,,,38.173913,25.169565,25.0,,12.772727,8.857143,,11.173913,,18.709524,5.695652,21.863636,13.782609,3.35,0.217391,4.173913,3.130435,2.521739,10.304348,14.391304,1.347826,27.963636,,17.295238,15.926087,13.656522,,17.904762,20.608696,19.454545,,19.173913,13.130435,10.545455
2012-01-04,23.645455,30.213043,30.930435,,,,5.995652,17.695652,,20.517391,15.256522,20.864706,17.852174,21.227273,24.304762,,,16.863636,,15.681818,20.727273,7.959091,0.566667,25.173913,18.843478,13.913043,25.130435,,,23.428571,14.227273,14.318182,6.063636,24.956522,30.0,36.816667,,,34.286364,,31.268182,28.366667,46.140909,44.009091,,,,24.178947,13.890909,26.695652,17.785714,24.591304,14.714286,12.75,15.956522,,48.104762,,39.021739,37.109091,22.130435,9.33,15.231818,,,20.336364,29.795455,,,21.038095,21.869565,24.0,31.0,,15.583333,9.130435,21.391304,,32.217391,,,29.45,,,33.4,,31.26087,,27.714286,29.136364,27.826087,2.571429,,25.916667,,41.130435,,,25.583333,,,,,,,,,37.826087,26.530435,27.478261,,13.136364,10.043478,,18.388889,,23.417391,7.826087,24.909091,14.727273,4.043478,0.217391,3.913043,2.782609,2.565217,12.0,17.0,1.826087,31.259091,,17.7,21.113636,18.182609,,21.5,21.869565,21.869565,,17.347826,12.086957,13.0
2012-01-05,22.831818,22.069565,28.86087,,,,6.83913,16.73913,,19.295652,14.365217,21.582609,17.230435,22.590909,27.395238,,,13.9,,14.772727,23.181818,4.481818,1.383333,23.0,20.256522,8.913043,28.043478,,,26.304348,18.190476,26.2,13.256522,29.413043,25.3,38.104762,,,36.026087,,36.330435,33.731818,42.495455,45.981818,,,,25.505882,18.647826,27.826087,18.636364,20.773913,16.545455,9.958333,15.752174,,34.022727,,36.573913,33.781818,21.652174,8.969565,19.573913,,,21.027273,30.445455,,,23.709091,21.347826,25.375,35.333333,,13.608696,11.875,20.0,,31.761905,,,29.478261,,,28.1,,28.142857,,26.958333,25.347826,27.666667,11.227273,,20.0,,39.045455,,,22.416667,,,,,,,,,33.409091,22.26087,28.521739,,14.190476,5.913043,,15.608696,,21.06875,3.869565,23.1,13.956522,3.956522,0.521739,4.434783,2.043478,2.043478,8.478261,17.26087,1.869565,25.336364,,15.3,17.31,17.043478,,20.636364,25.173913,23.043478,,19.913043,13.826087,17.608696
2012-01-06,16.459091,16.465217,20.826087,,,,6.6,17.043478,,15.321739,13.182609,20.23913,15.491304,22.5,24.080952,,,,,16.136364,20.136364,5.121739,1.091304,27.52381,23.143478,12.217391,26.782609,,,26.391304,16.954545,34.259091,20.708696,37.182609,29.4,44.254545,,,36.991304,,36.286957,39.186364,41.281818,40.577273,,,,34.813043,31.304545,21.086957,14.818182,20.617391,17.0,9.666667,13.03913,,27.709091,,21.43913,31.563636,22.6,11.191304,24.1,,,22.55,35.42381,,39.457143,26.995455,21.73913,23.125,27.8125,,12.875,12.173913,19.304348,,31.136364,,,24.913043,,,30.6,,25.409091,,29.227273,29.173913,27.428571,14.826087,,13.666667,,28.173913,,,23.6,,,,,,,,,35.478261,25.16,24.434783,,14.090909,5.173913,,14.26087,,19.369565,3.913043,19.409091,12.0,2.391304,1.086957,3.73913,2.608696,2.173913,3.304348,11.913043,0.217391,22.513636,,15.894444,18.26087,14.330435,,17.714286,21.173913,25.608696,,21.521739,13.782609,10.434783
2012-01-07,10.081818,15.873913,17.173913,,,,2.282609,7.608696,,11.408696,6.578261,9.73913,5.695652,18.181818,21.404762,,,,,12.909091,18.090909,4.645455,0.922727,30.086957,20.4,11.130435,22.173913,,,21.434783,12.772727,36.773913,28.017391,25.431818,29.45,30.1,,,17.468182,,33.43913,29.977273,21.140909,19.159091,,,,29.65,8.209091,11.130435,15.619048,21.382609,10.777778,13.347826,4.878261,,17.059091,,12.191304,19.940909,11.782609,12.413043,11.586957,,,11.913636,23.03913,,23.069565,18.895455,4.826087,8.25,9.652174,,7.043478,2.666667,5.25,,23.590909,,,21.782609,33.9625,,31.95,,13.681818,,19.166667,14.521739,20.304348,11.608696,,9.125,,13.304348,,,,,,,,,,,,22.521739,16.904348,16.043478,,4.318182,4.391304,,7.869565,,17.969565,2.73913,17.5,,4.130435,0.173913,2.0,6.173913,3.681818,7.043478,10.695652,1.869565,16.895455,,10.408696,13.778261,10.434783,,14.466667,32.391304,17.086957,,12.956522,14.434783,2.608696
2012-01-08,10.740909,12.352174,21.195652,,,,2.995652,15.434783,,10.104348,10.847826,13.478261,5.672727,16.045455,25.161905,,,,,10.545455,19.2,7.911111,2.289474,13.695652,6.404545,6.956522,20.869565,,,20.521739,14.954545,17.717391,7.226087,20.159091,1.2,27.230435,,,33.129412,,24.630435,25.868182,33.636364,32.209091,,,,,5.078261,13.869565,12.181818,23.595652,14.6,10.478261,12.247826,,18.222727,,16.526087,23.127273,19.347826,9.365217,7.234783,,,5.2,4.521739,,3.517391,6.740909,20.347826,19.958333,24.26087,,9.25,5.391304,13.565217,,12.909091,,,11.173913,11.965217,,3.1,,17.318182,,17.409091,12.73913,19.043478,3.043478,,7.25,,24.0,,,,,,,,,,,,19.695652,24.534783,23.130435,,4.5,7.0,,14.391304,,16.343478,1.0,19.363636,,2.043478,0.0,1.695652,1.782609,1.73913,11.173913,10.347826,1.130435,19.836364,,11.565217,17.43913,17.995652,,16.210526,58.956522,18.130435,,1.090909,5.0,8.869565
2012-01-09,26.509091,30.527778,35.173913,,,,6.121739,21.173913,,24.056522,20.195652,21.295652,19.891304,23.0,29.409524,,,,,14.681818,23.363636,7.5125,1.970833,23.086957,15.352174,15.347826,24.652174,,,26.043478,16.863636,23.13913,10.704348,24.595455,27.2,33.665217,,,36.604348,,31.130435,27.963636,41.538889,38.309091,,,,,15.008696,24.727273,17.952381,29.226087,14.25,10.875,18.986364,,31.804545,,32.963636,29.390909,22.26087,7.769565,11.726087,,,14.222727,29.856522,,21.669565,19.745455,25.73913,26.958333,39.086957,,13.652174,9.391304,23.125,,31.913043,,,25.391304,25.182609,11.25,2.3,24.477778,24.272727,,24.041667,26.391304,24.652174,10.913043,,13.0,,31.272727,,,,,,,,,,,,31.130435,37.673913,31.73913,,13.818182,11.608696,17.714286,17.086957,,28.169565,3.190476,23.909091,,2.521739,0.238095,3.095238,2.478261,1.8,15.190476,14.285714,1.1,37.463636,,24.46087,28.269565,23.982609,,17.65,66.652174,23.5,,9.0,10.695652,20.565217
2012-01-10,26.295455,33.808696,38.790476,,,,7.243478,17.304348,,24.15,16.508696,24.465217,19.908696,27.454545,29.228571,,,,,20.611111,23.818182,5.052174,1.608696,24.869565,21.656522,17.521739,27.434783,,,26.565217,18.772727,36.754545,4.1,29.95,26.7,37.990909,,,37.636842,,38.204545,32.245455,43.205263,39.436364,,,,,22.425,25.565217,15.136364,27.778261,18.25,7.416667,20.704348,,31.940909,,30.015789,33.590909,26.478261,9.182609,21.609091,,,19.363636,31.509091,,30.98,25.218182,19.521739,22.75,28.826087,,20.208333,7.826087,14.217391,,31.347826,,,25.26087,34.845455,10.434783,27.2,30.02381,26.681818,,26.318182,25.826087,26.52381,14.0,,14.75,,34.75,,,,,,,,,,,,34.608696,39.121739,31.173913,,15.590909,9.478261,7.913043,18.434783,,31.956522,3.304348,25.409091,,3.347826,0.956522,5.73913,5.434783,3.434783,11.73913,15.086957,1.086957,40.331818,,29.213043,24.656522,24.195652,,24.95,61.809524,26.0,,21.304348,17.73913,11.26087
