Date Local,"(1, 7, 3)","(1, 9, 3)","(1, 11, 3)","(1, 12, 3)","(1, 13, 3)","(1, 15, 3)","(7, 8, 3)","(9, 1, 3)","(11, 7, 1)","(11, 1002, 3)","(13, 2, 3)","(13, 1004, 3)","(15, 7, 1)","(19, 8, 3)","(19, 11, 3)","(19, 11, 4)","(19, 500, 1)","(19, 2009, 3)","(19, 2016, 3)","(19, 5001, 3)","(19, 5025, 3)","(23, 6, 1)","(23, 1005, 1)","(25, 5, 3)","(25, 5, 4)","(25, 7, 3)","(25, 10, 1)","(25, 1003, 3)","(27, 2, 1)","(27, 1003, 3)","(27, 1018, 1)","(27, 1023, 1)","(27, 1033, 2)","(29, 10, 3)","(29, 10, 4)","(29, 11, 3)","(29, 18, 1)","(29, 19, 3)","(31, 4, 8)","(31, 1004, 3)","(37, 4004, 3)","(37, 4008, 3)","(37, 4009, 3)","(37, 9033, 1)","(39, 500, 1)","(39, 2010, 3)","(41, 1, 3)","(45, 6, 3)","(45, 2002, 3)","(45, 2003, 3)","(47, 3, 3)","(47, 2510, 3)","(51, 1, 6)","(51, 5, 4)","(53, 2, 3)","(53, 8, 3)","(53, 1003, 3)","(55, 3, 3)","(55, 4, 3)","(57, 5, 3)","(59, 7, 3)","(59, 2022, 3)","(61, 3, 1)","(61, 6, 3)","(65, 9, 1)","(65, 10, 1)","(65, 500, 1)","(65, 1016, 1)","(65, 2002, 3)","(65, 8001, 3)","(65, 8001, 9)","(67, 6, 3)","(67, 10, 3)","(67, 12, 3)","(67, 12, 4)","(67, 15, 3)","(67, 5003, 3)","(69, 2, 3)","(71, 27, 3)","(71, 306, 1)","(71, 306, 2)","(71, 8001, 3)","(73, 77, 3)","(73, 1006, 1)","(73, 1008, 3)","(73, 1011, 3)","(73, 1026, 3)","(73, 1201, 1)","(75, 5, 3)","(77, 1002, 3)","(77, 1002, 4)","(77, 1003, 3)","(77, 2010, 3)","(79, 2004, 1)","(79, 2006, 3)","(79, 2007, 1)","(79, 2020, 1)","(79, 8001, 3)","(79, 8002, 3)","(81, 1001, 3)","(83, 11, 3)","(83, 1008, 3)","(83, 2004, 1)","(83, 2011, 1)","(85, 2, 3)","(85, 5, 3)","(85, 6, 3)","(87, 7, 3)","(87, 1004, 3)","(87, 1005, 3)","(89, 4, 3)","(93, 2001, 3)","(95, 4, 3)","(95, 4, 4)","(97, 3, 3)","(97, 4, 3)","(99, 5, 3)","(99, 6, 3)","(101, 3, 3)","(101, 3, 4)","(103, 7, 3)","(105, 2, 1)","(107, 9, 1)","(107, 2002, 3)","(107, 2003, 3)","(111, 7, 3)","(111, 9, 3)","(111, 1004, 3)","(111, 2002, 3)","(111, 2002, 4)","(111, 3001, 3)","(113, 1003, 3)"
2012-01-01,15.375,18.791667,,,,,,16.708333,5.291667,,,,,86.2875,,,,18.708333,,72.0,,,4.833333,,,,,,,3.991667,,,,,,1.916667,,,,56.375,,,,,,53.0,23.166667,16.681818,19.136364,,37.875,,,,6.041667,13.291667,8.958333,,,,,,7.041667,,6.083333,,,1.875,,,,,,,,,,2.291667,,,,,,,22.15,,,8.304348,20.25,22.541667,23.791667,,20.375,11.666667,12.208333,19.625,,23.791667,,22.416667,22.5,7.958333,,,12.291667,,,5.875,,,,,21.291667,,25.75,,30.0,41.5,,,,45.104167,,,,,,,,,,
2012-01-02,21.666667,22.416667,,,,,,16.0,12.458333,,,,,49.658333,,,,28.458333,,47.083333,,,5.875,,,,,,,4.975,,,,,,2.375,,,,53.791667,,,,,,43.166667,13.458333,13.5,18.625,,42.833333,,,,10.791667,11.875,13.208333,,,,,,15.041667,,0.166667,,,0.833333,,,,,,,,,,13.375,,,,,,,15.541667,,,6.75,19.916667,31.0,32.541667,,26.166667,10.166667,9.375,11.5,,11.875,,25.333333,14.25,11.375,,,17.416667,,,13.875,,,,,17.583333,,20.666667,,36.875,43.166667,,,,58.391667,,,,,,,,,,
2012-01-03,18.0,25.583333,,,,,,12.545455,14.166667,,,,,40.495833,,,,18.333333,,48.0,,,5.890909,,,,,,,5.983333,,,,,,3.0,,,,31.625,,,,,,37.166667,11.217391,9.041667,7.916667,,35.636364,,,,7.833333,5.583333,8.416667,,,,,,4.166667,,1.375,,,1.043478,,,,,,,,,,13.625,,,,,,,10.695652,,,5.833333,19.833333,28.086957,31.695652,,20.333333,11.954545,9.173913,15.625,,12.041667,,20.916667,10.833333,11.130435,,,20.043478,,,10.5,,,,,16.652174,,10.625,,30.869565,36.166667,,,,37.733333,,,,,,,,,,
2012-01-04,13.75,23.291667,,,,,,11.666667,5.5,,,,,57.016667,,,,34.434783,,74.173913,,,6.104167,,,,,,,8.325,,,,,,2.875,,,,45.083333,,,,,,56.541667,9.791667,10.666667,11.375,,50.708333,,,,5.666667,5.304348,7.541667,,,,,,5.375,,1.416667,,,0.791667,,,,,,,,,,15.666667,,,,,,,18.166667,,,3.375,13.833333,26.625,30.416667,,28.210526,10.458333,10.318182,16.125,,15.75,,20.75,12.916667,8.608696,,,20.347826,,,9.875,,,,,16.666667,,13.833333,,44.0,52.625,,,,42.570833,,,,,,,,,,
2012-01-05,8.043478,13.416667,,,,,,11.0,7.0,,,,,66.691667,,,,19.458333,,80.809524,,,10.070833,,,,,,,5.852174,,,,,,2.416667,,,,64.086957,,,,,,58.833333,8.125,8.666667,13.833333,,37.833333,,,,6.869565,6.791667,7.304348,,,,,,4.916667,,0.75,,,0.791667,,,,,,,,,,8.076923,,,,,,,12.458333,,,3.541667,14.173913,22.25,25.208333,,17.608696,12.916667,11.25,18.041667,,18.291667,,12.708333,14.916667,9.708333,,,10.208333,,,11.173913,,,,,12.5,,13.478261,,32.681818,43.333333,,,,46.65,,,,,,,,,,
2012-01-06,8.125,15.083333,,,,,,11.875,3.958333,,,,,47.65,,,,8.875,,57.166667,,,17.875,,,,,,,4.6875,,,,,,4.333333,,,,56.041667,,,,,24.666667,38.083333,13.333333,7.666667,7.875,,24.708333,,,,9.0,8.083333,9.333333,,,,,,4.791667,,4.708333,,,5.5,,,,,,,,,,7.083333,,,,,,,11.25,,,7.958333,18.041667,15.041667,17.875,,7.833333,13.333333,14.125,19.791667,,12.041667,,14.708333,15.130435,12.25,,,11.833333,,,8.75,,,,,15.125,,14.416667,,19.041667,23.541667,,,,41.670833,,,,,,,,,,
2012-01-07,4.0,7.5,,,,,,7.125,4.083333,,,,,36.554167,,,,5.541667,,46.458333,,,11.908333,,,,,,,8.95,,,,,,11.625,,,,27.25,,,,,47.958333,39.25,8.333333,9.958333,16.958333,,25.043478,,,,6.125,8.416667,8.166667,,,,,,3.958333,,12.666667,,,7.625,,,,,,,,,,4.958333,,,,,,,22.833333,,,15.958333,8.583333,5.041667,6.708333,,3.333333,6.791667,3.916667,9.291667,,6.208333,,10.541667,21.125,16.458333,,,13.166667,,,4.958333,,,,,16.291667,,8.291667,,5.083333,8.541667,,,,33.291667,,,,19.076923,10.785714,16.866667,,,,
2012-01-08,4.625,7.083333,,,,,,26.208333,5.708333,,,,,47.008333,,,,6.916667,,50.208333,,,11.808333,,,,,,,3.908333,,,,,,2.5,,,,45.458333,,,,,29.291667,43.25,6.0,13.208333,21.666667,,46.045455,,,,4.833333,5.416667,6.291667,,,,,,16.916667,,4.458333,,,0.5,,,,,,,,,,1.416667,,,,,,,14.375,,,7.25,5.583333,29.666667,31.083333,,24.833333,5.208333,5.541667,10.958333,,11.375,,7.166667,11.5,5.375,,,8.875,,,4.416667,,,,,10.916667,,10.833333,,37.0,50.041667,,,,31.208333,,,,2.625,2.833333,5.708333,,,,
2012-01-09,26.75,31.666667,,,,,,13.208333,7.75,,,,,39.3375,,,,10.25,,38.625,,,16.8875,,,,,,,4.070833,,,,,,2.086957,,,,43.583333,,,,,9.625,32.5,24.75,13.375,16.375,,28.782609,,,,5.75,4.791667,5.666667,,,,,,13.208333,,-0.428571,,,-0.375,,,,,,,,,,6.791667,,,,,,,8.125,,,5.454545,29.086957,60.458333,59.833333,,45.791667,4.625,6.375,10.956522,,10.916667,,20.875,8.166667,5.291667,,,9.791667,,,6.434783,,,,,36.875,,19.75,,62.375,57.727273,,,,39.741667,,,,3.083333,3.333333,6.208333,,,,
2012-01-10,27.166667,33.666667,,,,,,10.541667,7.708333,,,,,37.9,,,,22.708333,,35.416667,,,16.970833,,,,,,,4.3875,,,,,,2.166667,,,,48.166667,,,,,10.958333,36.541667,26.541667,14.791667,21.083333,,38.125,,,,6.916667,4.291667,6.041667,,,,,,3.333333,,1.045455,,,1.791667,,,,,,,,,,6.521739,,,,,,,9.130435,,,3.875,35.75,37.416667,38.0,,31.5,6.875,7.333333,12.708333,,11.454545,,33.375,12.875,8.5,,,17.652174,,,7.791667,,,,,28.458333,,24.291667,,43.125,45.458333,,,,47.145833,,,,7.416667,5.041667,8.375,,,,
