Date Local,"(1, 7, 1)","(1, 9, 1)","(1, 11, 1)","(1, 12, 1)","(1, 13, 1)","(1, 15, 1)","(1, 2005, 1)","(7, 2, 1)","(7, 8, 1)","(13, 2, 1)","(13, 1002, 1)","(13, 1004, 1)","(13, 2007, 1)","(19, 7, 1)","(19, 8, 1)","(19, 8, 3)","(19, 11, 1)","(19, 11, 3)","(19, 11, 4)","(19, 242, 1)","(19, 4001, 1)","(19, 5001, 1)","(25, 5, 1)","(25, 1003, 1)","(27, 2, 1)","(29, 7, 1)","(29, 14, 1)","(29, 2012, 1)","(29, 6001, 1)","(31, 1004, 1)","(37, 2, 2)","(37, 16, 1)","(37, 113, 1)","(37, 1002, 2)","(37, 1103, 1)","(37, 1103, 9)","(37, 1201, 2)","(37, 1302, 1)","(37, 1602, 1)","(37, 1701, 2)","(37, 2005, 1)","(37, 4002, 2)","(37, 4006, 1)","(37, 4008, 1)","(37, 4009, 1)","(37, 4010, 1)","(37, 5005, 1)","(37, 6012, 1)","(37, 9033, 1)","(39, 4, 1)","(41, 1, 1)","(47, 3, 1)","(53, 1003, 1)","(55, 3, 1)","(55, 4, 1)","(59, 7, 5)","(59, 8, 1)","(59, 1003, 1)","(59, 5001, 2)","(61, 6, 1)","(65, 9, 1)","(65, 12, 1)","(65, 1003, 3)","(65, 5001, 2)","(65, 8001, 2)","(65, 8001, 9)","(65, 8005, 1)","(65, 9001, 1)","(67, 2, 1)","(67, 6, 1)","(67, 6, 2)","(67, 10, 1)","(67, 10, 3)","(67, 11, 1)","(67, 12, 1)","(67, 12, 2)","(67, 14, 1)","(67, 15, 1)","(71, 1, 1)","(71, 26, 1)","(71, 27, 1)","(71, 306, 1)","(71, 1004, 2)","(71, 1234, 1)","(71, 2002, 1)","(71, 9004, 1)","(73, 1, 1)","(73, 3, 1)","(73, 3, 3)","(73, 6, 1)","(73, 1002, 1)","(73, 1006, 1)","(73, 1008, 1)","(73, 1010, 1)","(73, 1014, 1)","(73, 1016, 1)","(73, 1017, 1)","(73, 1018, 1)","(73, 1022, 1)","(73, 1022, 3)","(73, 1026, 1)","(73, 2007, 1)","(75, 5, 1)","(77, 1002, 2)","(77, 1003, 1)","(77, 3005, 1)","(79, 3001, 1)","(79, 4002, 1)","(79, 8001, 1)","(79, 8002, 1)","(81, 1001, 1)","(83, 8, 1)","(83, 11, 1)","(83, 1008, 1)","(83, 1013, 1)","(83, 1014, 1)","(83, 1018, 1)","(83, 1021, 1)","(83, 1025, 1)","(83, 2004, 1)","(83, 2011, 1)","(83, 4003, 1)","(85, 5, 1)","(85, 5, 2)","(85, 6, 1)","(85, 2009, 1)","(95, 4, 1)","(97, 3, 1)","(97, 4, 1)","(99, 6, 1)","(101, 3, 1)","(107, 2002, 1)","(107, 2003, 1)","(111, 2002, 1)","(111, 3001, 1)","(113, 4, 1)"
2012-01-01,3.922727,8.778261,24.1,,,,0.786957,14.826087,,2.978261,2.552174,1.852174,4.186957,8.863636,53.879167,38.65,,,,9.0,1.619048,30.631579,55.73913,4.627273,,1.695652,17.869565,,6.391304,13.954545,1.191304,0.147826,18.690909,,19.747826,16.395652,,58.222727,,38.986364,10.222727,29.868182,37.063636,,,,23.895652,1.321739,13.304348,4.428571,7.230435,6.809524,1.73913,19.769565,,41.304545,,15.034783,55.531818,10.130435,7.147826,1.627273,,3.209091,4.827273,3.609091,,1.356522,25.173913,32.458333,23.5,42.347826,,3.043478,0.916667,0.73913,22.041667,,41.695652,,,18.869565,,6.875,11.1,,20.391304,35.0,33.943478,5.73913,53.652174,2.173913,7.153846,29.913043,,,,,,,,12.478261,8.482609,18.043478,,1.227273,,,8.0,,20.573913,1.956522,12.727273,1.869565,1.608696,0.0,0.043478,0.26087,0.347826,4.782609,6.043478,0.0,48.359091,49.221739,,5.1,2.317391,18.134783,,21.315789,26.130435,13.434783,,0.090909,1.454545,3.681818
2012-01-02,19.8,23.056522,32.569565,,,,0.673913,17.652174,,5.395652,5.043478,9.356522,10.513043,10.454545,22.933333,16.243478,,,,5.772727,3.714286,19.85,21.086957,3.056522,,5.652174,14.521739,,7.130435,13.454545,7.06087,0.543478,8.463636,,36.830435,32.96087,,17.926087,,41.090909,19.709091,8.581818,9.490909,,,,11.426087,2.265217,20.391304,1.428571,8.586957,4.444444,2.083333,18.286957,,41.163636,,10.83913,57.381818,19.347826,6.965217,2.736364,,2.627273,10.309091,9.054545,,3.491304,24.782609,23.875,14.583333,35.913043,,2.458333,0.391304,0.291667,14.347826,,60.130435,,,32.347826,,16.086957,7.0,,19.565217,27.727273,26.418182,15.304348,37.695652,2.304348,4.555556,33.565217,,,,,,,,23.695652,11.517391,43.043478,,1.818182,,,14.913043,,26.591304,3.238095,10.863636,4.782609,1.73913,0.0,0.285714,0.190476,0.15,2.904762,6.047619,0.0,42.045455,44.526087,,5.2,6.443478,16.221739,,11.727273,11.478261,26.956522,,5.434783,1.434783,2.636364
2012-01-03,37.65,39.545455,62.026087,,,,0.86087,27.130435,,8.877273,5.073913,8.652174,11.391304,46.227273,48.758333,36.554167,,,,9.5625,6.904762,28.9,78.173913,23.408696,,3.043478,33.782609,,10.434783,28.318182,6.977273,1.563636,39.936364,,70.927273,62.952174,,135.072727,,80.642857,41.331818,76.786364,114.772727,,,,33.131818,15.895455,35.913043,13.545455,18.821739,16.35,5.5,25.895652,,93.418182,,62.97619,93.059091,39.521739,8.286364,5.872222,,3.659091,49.827273,46.077273,,10.590909,35.173913,46.583333,35.166667,66.130435,,8.73913,1.541667,1.695652,27.0,,39.956522,,,26.0,,13.0,17.3,,24.73913,42.0,40.765217,27.782609,55.086957,5.043478,9.136364,66.782609,,15.428571,,,,,,55.608696,24.465217,66.136364,,2.5,2.571429,,18.782609,,45.638095,4.304348,18.0,13.782609,1.85,0.0,0.478261,0.26087,0.304348,6.869565,8.521739,0.043478,96.159091,93.830435,,8.961905,41.591304,13.63913,,38.571429,33.565217,33.681818,,19.73913,3.695652,1.318182
2012-01-04,38.272727,87.117391,99.16087,,,,0.882609,36.26087,,18.269565,12.752174,11.429412,16.5,20.272727,48.741667,35.947826,,,,16.136364,11.454545,26.318182,64.521739,21.043478,,4.217391,42.0,,21.619048,29.818182,4.85,1.481818,18.386957,,63.183333,,,139.931818,,78.645455,30.466667,99.618182,127.145455,,,,23.463158,7.240909,32.869565,32.214286,33.213043,8.666667,3.916667,33.83913,,149.847619,,90.478261,89.377273,35.73913,8.18,4.159091,,4.927273,31.581818,29.845455,,13.171429,37.086957,56.166667,38.083333,64.173913,,6.708333,0.956522,1.083333,49.347826,,57.521739,,,43.8,,9.391304,44.1,,25.130435,42.190476,44.077778,12.136364,61.565217,2.904762,19.208333,94.869565,,5.25,,,,,,78.913043,24.682609,50.347826,,2.863636,4.782609,,29.944444,,56.356522,4.826087,30.045455,8.5,1.826087,0.0,0.478261,0.043478,0.434783,10.347826,12.521739,0.086957,106.445455,105.23913,,6.53913,44.945455,31.365217,,48.090909,32.26087,22.782609,,11.173913,3.913043,5.545455
2012-01-05,29.713636,24.586957,54.291304,,,,1.369565,40.652174,,16.395652,5.591304,24.313043,16.534783,36.409091,46.529167,33.8875,,,,9.6,5.045455,24.454545,86.086957,27.182609,,2.0,50.217391,,21.217391,37.095238,12.6,2.069565,28.6,,68.557143,,,92.004348,,75.565217,34.895455,60.131818,107.559091,,,,19.311765,12.213043,46.086957,14.863636,22.53913,12.0,4.125,26.565217,,58.072727,,89.556522,57.690909,21.26087,6.252174,11.069565,,6.186364,50.85,50.009091,,14.813636,41.26087,49.958333,34.958333,130.277778,,5.565217,1.166667,1.434783,44.583333,,57.952381,,,57.521739,,10.73913,39.6,,24.714286,37.541667,47.40625,12.173913,61.095238,3.5,11.5,90.5,,6.416667,,,,,,48.454545,30.021739,71.043478,,6.095238,1.0,,17.73913,,33.23125,3.043478,22.75,9.347826,1.695652,0.0,1.043478,0.0,0.347826,10.304348,16.217391,0.043478,72.572727,73.117391,,8.842857,36.835,25.7,,36.363636,63.521739,27.434783,,18.565217,4.043478,17.130435
2012-01-06,17.081818,17.956522,25.765217,,,,0.817391,45.913043,,9.517391,5.108696,22.330435,7.386957,28.136364,29.275,20.704167,,,,,6.318182,27.772727,139.285714,25.104348,,2.173913,39.173913,,25.956522,27.0,16.236364,4.952174,50.13913,,109.331818,,,133.513043,,75.473913,50.063636,77.677273,110.136364,,,,52.304348,28.695455,15.956522,13.727273,24.991304,30.0,2.708333,27.491304,,42.204545,,33.204348,49.931818,28.05,7.978261,22.530435,,3.509091,77.380952,75.833333,68.557143,13.65,26.782609,30.333333,17.5,59.375,,9.375,2.347826,1.791667,32.521739,,51.090909,,,29.565217,,8.26087,39.6,,10.681818,30.136364,28.6,17.434783,40.238095,4.130435,8.142857,41.347826,,13.733333,,,,,,41.26087,22.945,63.347826,,3.954545,3.391304,,9.043478,,39.413043,2.73913,12.954545,6.619048,1.695652,0.0,1.434783,0.173913,0.043478,1.608696,4.173913,0.0,45.9,45.382609,,5.883333,37.83913,21.121739,,31.714286,55.521739,27.304348,,30.434783,9.086957,4.217391
2012-01-07,18.681818,22.443478,60.317391,,,,0.426087,2.434783,,12.386957,1.486957,5.521739,12.069565,28.772727,35.55,27.347826,,,,,5.863636,20.954545,93.913043,10.791304,,2.086957,31.434783,,20.913043,16.136364,29.495652,14.095652,27.722727,,40.795652,,,20.763636,,50.882609,28.354545,8.604545,11.968182,,,,29.175,4.922727,2.695652,7.190476,25.630435,9.666667,4.521739,8.708696,,6.759091,,4.847826,12.136364,16.521739,7.404348,0.53913,,1.636364,50.83913,48.25,40.926087,2.85,1.521739,4.666667,2.583333,2.434783,,0.73913,0.125,0.130435,1.541667,,24.909091,,,13.086957,10.5875,6.304348,39.15,,2.727273,5.125,4.717647,2.956522,9.956522,2.434783,1.166667,8.913043,,,,,,,,10.347826,15.165217,7.73913,,0.090909,0.478261,,4.782609,,28.047826,2.130435,8.818182,,1.695652,0.0,0.347826,0.956522,0.727273,3.347826,4.0,0.0,48.659091,46.409091,,3.291304,47.947826,12.747826,,4.733333,4.0,9.173913,,11.521739,5.217391,0.0
2012-01-08,5.75,8.808696,16.517391,,,,0.665217,4.782609,,3.826087,2.947826,6.143478,0.595652,17.136364,37.858333,27.070833,,,,,2.454545,26.55,6.26087,0.218182,,1.521739,34.217391,,16.521739,23.318182,2.113043,0.252174,10.0,,44.904348,,,136.958824,,21.604348,13.395455,43.677273,68.640909,,,,,1.386957,5.521739,4.636364,18.9,10.4,1.826087,13.352174,,17.931818,,10.704348,35.381818,17.73913,7.117391,1.156522,,0.9,0.304348,0.45,0.03913,-2.904545,25.956522,24.666667,17.916667,35.73913,,0.875,0.26087,0.166667,7.173913,,5.818182,,,1.086957,2.773913,5.416667,3.3,,6.727273,14.318182,13.419048,3.782609,18.391304,2.0,1.791667,28.913043,,,,,,,,17.478261,10.873913,33.782609,,0.409091,1.608696,,8.130435,,10.621739,1.5,8.863636,,1.73913,0.0,0.086957,0.0,0.0,3.521739,2.521739,0.0,27.359091,26.269565,,2.130435,23.813043,7.756522,,24.473684,24.913043,15.434783,,0.0,0.090909,0.956522
2012-01-09,41.9,28.094444,69.578261,,,,1.047826,26.652174,,15.656522,9.826087,7.834783,14.117391,28.571429,48.029167,35.313043,,,,,8.681818,37.045455,76.478261,3.8,,11.043478,49.782609,,26.73913,36.772727,9.095652,1.321739,28.640909,,58.904348,52.643478,,118.952174,,51.047826,18.186364,63.038889,92.909091,,,,,8.713043,29.681818,10.857143,34.343478,12.75,3.0,25.7,,64.136364,,53.677273,51.422727,18.086957,7.895652,3.026087,,2.6,29.047826,29.4,21.421739,9.554545,42.26087,64.458333,48.125,102.608696,,4.608696,0.608696,0.818182,36.333333,,51.304348,,,30.26087,14.247826,6.826087,3.2,23.811111,14.772727,30.458333,29.482609,16.521739,37.913043,3.695652,8.5,61.045455,,,,,,,,58.217391,30.773913,66.304348,,4.545455,7.391304,3.0,17.869565,,54.626087,2.333333,22.863636,,1.782609,0.0,0.714286,0.086957,0.2,8.333333,6.571429,0.0,85.118182,89.527778,,8.33913,56.286957,34.073913,,34.35,69.0,43.454545,,4.130435,1.913043,15.434783
2012-01-10,41.645455,49.03913,89.890476,,,,1.26087,34.73913,,20.995455,4.552174,12.33913,14.256522,28.909091,33.745833,24.216667,,,,,7.055556,23.136364,121.913043,29.743478,,4.565217,64.043478,,21.695652,27.409091,23.931818,0.0,36.581818,,77.113636,74.586957,,111.036842,,78.836364,30.990909,66.721053,74.413636,,,,,20.475,34.347826,7.954545,35.004348,27.5,1.708333,33.426087,,49.3,,48.973684,54.031818,53.73913,8.3,11.236364,,5.013636,57.972727,57.936364,59.125,33.318182,34.608696,78.291667,60.875,64.304348,,22.333333,2.782609,2.708333,14.086957,,53.434783,,,33.652174,29.513636,5.304348,33.8,41.671429,15.181818,35.590909,30.565,11.130435,34.809524,4.956522,9.458333,71.5,,,,,,,,43.73913,40.004348,70.73913,,2.681818,5.695652,7.0,17.695652,,53.565217,2.73913,19.818182,,2.0,0.0,1.347826,0.565217,0.521739,8.347826,6.086957,0.0,81.018182,82.065217,,13.034783,38.221739,33.66087,,30.2,46.380952,34.26087,,23.391304,5.043478,1.173913
