Date Local,"(7, 2, 1)","(11, 1002, 1)","(15, 2003, 1)","(19, 7, 1)","(19, 11, 1)","(19, 2008, 1)","(19, 2009, 1)","(19, 2016, 1)","(19, 4001, 1)","(19, 5001, 1)","(23, 2002, 1)","(25, 5, 1)","(27, 2, 1)","(27, 21, 1)","(27, 23, 1)","(27, 1018, 1)","(27, 1023, 1)","(27, 1028, 1)","(27, 1033, 1)","(29, 8, 1)","(29, 14, 1)","(29, 18, 1)","(29, 2009, 1)","(29, 2012, 1)","(29, 2019, 1)","(29, 6001, 1)","(31, 4, 1)","(31, 1004, 1)","(37, 2, 1)","(37, 113, 1)","(37, 1002, 1)","(37, 1103, 1)","(37, 1602, 1)","(37, 4002, 1)","(37, 4004, 1)","(37, 4009, 1)","(37, 5005, 1)","(37, 6012, 1)","(37, 9033, 1)","(39, 4, 1)","(39, 2010, 1)","(51, 5, 2)","(59, 7, 1)","(59, 2022, 1)","(61, 6, 1)","(65, 12, 1)","(65, 2002, 1)","(65, 5001, 1)","(65, 6001, 1)","(65, 8001, 1)","(65, 8005, 1)","(67, 10, 1)","(67, 11, 1)","(71, 1, 1)","(71, 12, 1)","(71, 13, 1)","(71, 26, 1)","(71, 27, 1)","(71, 306, 1)","(71, 1004, 1)","(71, 1234, 1)","(71, 2002, 1)","(71, 4001, 1)","(73, 6, 1)","(73, 1016, 1)","(73, 1022, 1)","(77, 2010, 1)","(77, 3005, 1)","(79, 2006, 1)","(83, 11, 1)","(83, 1008, 1)","(83, 2011, 1)","(99, 5, 1)","(99, 6, 1)","(101, 3, 1)","(107, 2002, 1)","(107, 2010, 1)","(107, 3000, 1)","(111, 8, 1)"
2012-01-01,1013.058333,1017.779167,1018.083333,1013.216667,,1010.291667,1017.054167,,1010.116667,1009.05,999.166667,1019.0125,,899.583333,,900.791667,885.333333,890.818182,,989.554167,1005.4,,,,,1009.441667,,1013.458333,1000.75,,1002.166667,1007.875,1013.291667,1013.708333,1020.416667,,1013.375,975.083333,941.779167,1013.220833,1012.075,,1015.25,999.375,1015.520833,946.208333,1023.833333,997.041667,967.416667,991.75,990.541667,1021.8875,1023.916667,939.0125,,,,,920.116667,976.583333,,984.458333,912.225,1002.008333,,,1022.004167,1015.541667,1012.7375,1015.95,1010.683333,1016.216667,1017.054167,1018.629167,1016.941667,1010.5,1007.125,1008.525,990.625
2012-01-02,1014.241667,1018.679167,1019.833333,1014.166667,,1011.458333,1018.175,,1010.945833,1009.95,998.333333,1019.908333,,899.25,,900.708333,885.083333,890.458333,,990.616667,1006.7875,,,,,1010.220833,,1014.375,1002.083333,,1003.583333,1009.291667,1014.833333,1015.541667,1022.090909,,1014.708333,975.958333,942.358333,1014.225,1012.958333,,1016.75,1000.958333,1016.725,947.25,1024.708333,997.833333,968.583333,992.791667,991.166667,1023.0625,1025.333333,939.516667,,,,,920.791667,978.375,966.525,985.583333,912.920833,1003.845833,,,1023.608333,1017.166667,1015.4125,1017.995833,1013.6125,1018.45,1018.354167,1020.0125,1018.191667,1011.995833,1008.166667,1009.4125,992
2012-01-03,1016.779167,1021.883333,1025.75,1017.004167,,1014.25,1020.833333,,1014.0625,1012.725,1004.458333,1019.629167,,899.458333,,900.916667,885,890.666667,,993.895455,1009.895833,,,,,1013.113043,,1017.625,1002.416667,,1004.083333,1009.708333,1015.291667,1016.041667,1022.304348,,1014.958333,975.75,942.245833,1016.891667,1015.791667,,1016.916667,1001.666667,1019.233333,947.458333,1024.5,997.583333,968.958333,993,991.5,1025.666667,1027.333333,939.345833,,,,,920.754167,978.958333,966.354167,986.041667,912.820833,1004.116667,,,1026.0625,1019.666667,1015.854167,1017.945833,1014.0625,1018.629167,1021.216667,1022.35,1020.9375,1014.679167,1011.25,1012.245833,992.125
2012-01-04,1017.5625,1022.5,1026.166667,1017.616667,,1014.75,1021.6625,,1014.633333,1013.166667,1005.791667,1020.783333,,901.041667,,902.541667,886.708333,892.25,,994.241667,1010.291667,,,,,1013.908333,,1018.083333,1003.375,,1005.583333,1010.5,1015.958333,1016.75,1022.722222,,1015.958333,977.166667,943.65,1017.554167,1016.508333,,1017.625,1002.416667,1020.408333,948.291667,1025.708333,999,970,994.083333,992.5,1026.608333,1027.875,940.670833,,,,,922.079167,980.458333,967.825,986.958333,914.179167,1004.725,,,1026.447826,1020.041667,1015.963636,1018.633333,1014.404167,1019.45,1021.829167,1022.7875,1021.729167,1015.3625,1011.666667,1012.9,993.083333
2012-01-05,1013.9625,1019.0125,1027.125,1014.445833,,1011.666667,1018.3375,,1011.383333,1010.283333,1004.458333,1016.454167,,895.708333,,897.083333,881.75,887.083333,,990.991667,1007.229167,,,,,1010.554167,,1014.75,999.375,,1001.416667,1006.625,1012.25,1013.125,1018.904762,,1012.333333,972.583333,938.45,1014.445833,1013.141667,,1014.083333,998.708333,1016.829167,944.291667,1021.291667,994.541667,966,990.083333,988.666667,1023.341667,1024.75,935.954167,,,,,917.045833,974.791667,962.391667,983.333333,909.4,1000.8625,,,1023.054167,1016.583333,1013.4625,1014.666667,1011.05,1015.345833,1018.666667,1019.725,1018.2375,1012.054167,1008.583333,1010.1375,989.083333
2012-01-06,1010.916667,1015.6375,1024.375,1010.408333,,1007.875,1014.629167,,1007.538889,1006.2375,1001.208333,1011.575,,890.25,,891.666667,876.291667,881.625,,987.273913,1002.966667,,,,,1006.4625,,1010.833333,994.25,,996.833333,1002.458333,1007.916667,1008.625,1015.35,,1008.291667,967.791667,933.091667,1010.354167,1009.275,,1010.291667,994.708333,1013.233333,939.333333,1016.166667,989.25,961.458333,985.666667,984.125,1019.5125,1021.958333,930.779167,,,,,911.8625,967.916667,956.5375,979.041667,904.320833,997.429167,,,1019.904167,1013,1010.0125,1010.8625,1008.129167,1011.7875,1014.979167,1016.070833,1015.033333,1008.025,1004.5,1006.154167,984.916667
2012-01-07,1014.083333,1018.854167,1026.166667,1011.304167,,1008.291667,1015.408333,,1008.3375,1007.0875,1004.125,1010.9625,,891.5,,892.875,879.041667,883.708333,,988.116667,1004.25,,,,,1007.845833,,1011.875,992.541667,,995.333333,1002.458333,1007.958333,1009.083333,1016.041667,,1008.666667,968.541667,933.895833,1011.25,1010.170833,,1010.708333,994.791667,1014.066667,938.458333,1016.125,989.458333,960.958333,985.833333,984.041667,1021.070833,1022.333333,931.795833,,,,,912.604167,966.75,957.966667,979.125,904.929167,997.7875,,,1020.454167,1014.541667,1010.9625,1011.35,1008.504167,1011.391667,1015.629167,1016.675,1016.954167,1008.675,1005.375,1006.558333,985.25
2012-01-08,1014.075,1018.979167,1024.458333,1013.895833,,1011.041667,1017.729167,,1010.85,1009.5625,1003.958333,1016.85,,895.833333,,897.25,883.25,887.458333,,990.408333,1005.833333,,,,,1010.058333,,1014.541667,997.5,,1000.458333,1006.5,1011.75,1013.208333,1019.5,,1012.75,973.666667,939.320833,1013.779167,1012.558333,,1014.666667,998.5,1016.295833,942.541667,1022.333333,995.291667,965.333333,990.583333,989.541667,1022.675,1024.375,936.883333,,,,,917.745833,973.291667,963.245833,984.041667,910.0625,1001.354167,,,1022.691667,1016.083333,1013.583333,1015.8375,1011.4375,1016.283333,1018.016667,1019.25,1017.629167,1011.175,1007.875,1009.4,990.208333
2012-01-09,1013.391667,1018.291667,1023.083333,1013.817391,,1010.708333,1017.683333,,1010.833333,1009.629167,1002.541667,1019.529167,,896.25,,897.708333,881.875,887.375,,990.333333,1006.329167,,,,,1009.9,,1014.208333,1000.166667,,1002.041667,1008.5,1013.958333,1015.375,1021.5,,1014.75,974.375,939.933333,1013.795833,1012.616667,,1016.458333,1000.75,1016.4,945.041667,1024.125,997.125,967.083333,992,990.625,1022.383333,1024.375,937.5,,,,,918.279167,976.625,964.1625,985.333333,910.625,1003.629167,,,1022.775,1016.208333,1014.283333,1016.883333,1012.333333,1017.5625,1018.070833,1019.143478,1017.341667,1011.475,1007.791667,1009.45,991.583333
2012-01-10,1011.008333,1015.85,1021,1010.7875,,1008.083333,1015.075,,1007.56087,1006.508333,999.875,1016.295833,,893.041667,,894.541667,879.166667,884.458333,,987.129167,1003.954167,,,,,1006.904167,,1011.291667,997.875,,1000,1006.708333,1012.041667,1013.333333,1019.863636,,1012.958333,971.791667,936.291667,1010.9,1009.629167,,1014.666667,998.083333,1013.341667,942.625,1020.833333,994.041667,965.041667,990.125,988,1019.9625,1022.125,934,,,,,914.833333,973,960.4,982.666667,907.129167,1001.954167,,,1020.008333,1013.625,1012.291667,1015.458333,1010.354167,1015.566667,1015.358333,1016.45,1014.7375,1008.458333,1004.875,1005.977778,989.416667
2012-01-11,1008.95,1013.941667,1018.782609,1009.845833,,1006.875,1013.620833,,1006.741667,1005.3875,998.541667,1013.329167,,892.708333,,894.125,878.833333,883.791667,,986.4,1002.904167,,,,,1005.954167,,1010.208333,993.958333,,996.625,1003.291667,1008.833333,1009.75,1016.5,,1009.416667,969.375,935.304167,1009.616667,1008.508333,,1011.333333,995.208333,1011.9125,939.916667,1018.083333,991.208333,962.041667,986.75,985.375,1018.320833,1020.583333,933.104167,,,,,913.7875,968.666667,959.458333,979.75,906.091667,998.35,,,1018.395833,1011.916667,1009.891667,1012.5,1007.683333,1012.570833,1013.608333,1014.841667,1012.895833,1007.129167,1003.75,1004.5625,986.25
2012-01-12,1009.441667,1014.45,1018.458333,1009.779167,,1006.958333,1013.783333,,1006.566667,1005.45,998.333333,1014.683333,,893.541667,,894.75,879.541667,884.708333,,986.395833,1002.508333,,,,,1005.895833,,1010.208333,995.583333,,997.375,1003.625,1009.136364,1010.041667,1016.521739,,1009.458333,970.333333,936.283333,1009.725,1008.675,,1011.458333,995.583333,1012.245833,940.666667,1019.333333,992.416667,962.875,987.291667,986.583333,1018.779167,1020.958333,934.125,,,,,914.570833,969.541667,960.65,980.375,906.954167,998.229167,,,1018.633333,1012.166667,1009.725,1012.225,1007.575,1012.854167,1013.833333,1015.083333,1013.729167,1007.116667,1003.833333,1005.2375,986.625
2012-01-13,1012.895833,1017.95,1020.583333,1013.054167,,1010.208333,1017.270833,,1010,1008.783333,1000.583333,1018.6875,,896.833333,,898.083333,882.666667,887.958333,,989.508333,1005.620833,,,,,1008.945833,,1013.333333,999,,1000.166667,1006.916667,1012.166667,1013.208333,1019.636364,,1012.833333,973.708333,939.983333,1013,1011.9625,,1014.666667,998.041667,1015.795833,944,1023.416667,996.625,965.75,991,989.875,1022.108333,1023.916667,937.554167,,,,,917.079167,973.875,964.533333,983.458333,910.5125,1001.4,,,1022.116667,1015.708333,1012.620833,1015.5625,1010.679167,1015.841667,1017.333333,1018.458333,1017.341667,1010.5625,1007.25,1008.85,989.666667
