Date Local,"(5, 2, 2)","(7, 2, 1)","(7, 7, 1)","(7, 7, 2)","(7, 8, 2)","(7, 4001, 1)","(7, 4001, 2)","(9, 1, 2)","(11, 1002, 2)","(15, 2003, 1)","(17, 10, 2)","(17, 11, 2)","(17, 12, 2)","(17, 20, 2)","(19, 11, 1)","(19, 11, 2)","(19, 4001, 1)","(19, 5001, 1)","(21, 3, 1)","(21, 3, 2)","(23, 2002, 1)","(25, 5, 1)","(25, 5, 2)","(27, 2, 1)","(27, 20, 1)","(27, 21, 1)","(27, 23, 1)","(27, 30, 1)","(27, 31, 1)","(27, 101, 1)","(27, 1001, 1)","(27, 1018, 1)","(27, 1023, 1)","(27, 1028, 1)","(27, 1033, 1)","(29, 7, 2)","(29, 11, 2)","(29, 14, 1)","(29, 14, 2)","(29, 19, 2)","(29, 232, 2)","(29, 2012, 1)","(29, 5002, 2)","(29, 6001, 1)","(33, 3010, 1)","(33, 3011, 1)","(33, 3012, 1)","(37, 2, 1)","(37, 16, 1)","(37, 113, 1)","(37, 1002, 1)","(37, 1103, 1)","(37, 1201, 1)","(37, 1302, 1)","(37, 1602, 1)","(37, 2005, 1)","(37, 4002, 1)","(37, 4004, 1)","(37, 4006, 1)","(37, 4008, 1)","(37, 4009, 1)","(37, 4010, 1)","(37, 5005, 1)","(37, 6012, 1)","(37, 9033, 1)","(39, 4, 1)","(39, 2010, 1)","(41, 3, 1)","(43, 3, 1)","(43, 6, 1)","(43, 6, 2)","(43, 1004, 1)","(43, 1005, 1)","(51, 5, 2)","(51, 11, 1)","(57, 7, 1)","(59, 7, 1)","(59, 8, 1)","(59, 2022, 1)","(59, 5001, 1)","(61, 6, 1)","(61, 6, 2)","(65, 8, 1)","(65, 10, 1)","(65, 12, 1)","(65, 16, 1)","(65, 1003, 1)","(65, 1004, 1)","(65, 1010, 1)","(65, 2002, 1)","(65, 2005, 1)","(65, 5001, 1)","(65, 6001, 1)","(65, 8001, 1)","(65, 8005, 1)","(65, 9001, 1)","(67, 6, 1)","(67, 10, 1)","(67, 10, 2)","(67, 11, 1)","(67, 12, 1)","(67, 14, 1)","(69, 3, 1)","(71, 1, 1)","(71, 5, 1)","(71, 12, 1)","(71, 13, 1)","(71, 26, 1)","(71, 27, 1)","(71, 306, 1)","(71, 1001, 1)","(71, 1004, 1)","(71, 1234, 1)","(71, 2002, 1)","(71, 4001, 1)","(71, 4003, 1)","(71, 9002, 1)","(71, 9004, 1)","(73, 3, 1)","(73, 6, 1)","(73, 1006, 1)","(73, 1016, 1)","(73, 1018, 1)","(73, 1022, 1)","(77, 1002, 1)","(77, 1002, 2)","(77, 1003, 2)","(79, 5, 2)","(79, 2006, 2)","(83, 11, 2)","(83, 1008, 2)","(83, 2011, 1)","(85, 5, 1)","(89, 3003, 1)","(99, 5, 2)","(101, 3, 2)","(101, 4, 2)","(103, 4, 2)","(107, 6, 1)","(107, 9, 1)","(107, 2002, 2)","(107, 2003, 2)","(107, 3000, 1)","(109, 5, 2)","(111, 7, 1)","(111, 8, 1)","(111, 9, 1)","(111, 1004, 1)","(111, 2002, 1)","(111, 3001, 1)","(113, 4, 2)"
2012-01-01,,71.125,53.625,,,81.083333,,,,85.5125,,,,,,,72.75,75.0,66.541667,,72.129167,44.875,,22.291667,16.458333,26.75,,33.25,,13.916667,22.125,22.5,19.25,17.958333,,,,72.333333,,,,,,88.75,80.041667,61.75,25.958333,21.458333,16.708333,,34.708333,32.416667,,72.916667,45.333333,,41.888889,77.625,79.541667,,,,78.375,24.291667,,79.208333,77.416667,56.125,20.25,,,,,,,,65.958333,,36.625,,73.708333,,,,12.5,,,,,28.208333,,35.416667,35.416667,17.916667,29.166667,,83.916667,65.916667,,95.0,78.125,77.875,58.25,,46.375,,,,,,,30.291667,,26.208333,,,15.916667,31.833333,63.583333,50.875,12.791667,,,,87.708333,,,,,,,79.583333,,53.416667,,,,,17.75,26.958333,,,74.25,,11.625,10.333333,17.416667,43.291667,8.75,39.4,
2012-01-02,,75.166667,45.333333,,,82.708333,,,,92.45,,,,,,,65.958333,65.166667,75.958333,,86.475,35.0,,25.375,14.375,27.666667,,39.0,,13.208333,22.875,28.625,23.375,20.583333,,,,62.375,,,,,,75.833333,85.708333,68.833333,60.5,21.041667,15.833333,,28.875,34.625,,75.208333,42.375,,63.5,75.181818,74.958333,,,,79.291667,25.666667,,72.166667,67.583333,92.083333,19.791667,,,,,,,,63.833333,,44.458333,,72.625,,,,14.833333,,,,,27.416667,,36.541667,36.416667,19.208333,33.875,,85.708333,16.666667,,97.708333,79.041667,79.041667,64.208333,,20.208333,,,,,,,27.875,,25.708333,,,18.041667,30.375,58.375,73.291667,18.166667,,,,85.333333,,,,,,,80.75,,31.541667,,,,,19.666667,20.375,,,67.875,,17.875,11.125,16.583333,40.041667,10.875,55.434783,
2012-01-03,,71.416667,46.291667,,,75.583333,,,,88.45,,,,,,,86.041667,92.958333,68.166667,,83.375,41.208333,,24.125,17.791667,28.958333,,33.583333,,13.041667,22.0,24.916667,23.208333,20.458333,,,,68.083333,,,,,,81.130435,86.25,80.25,49.375,22.541667,18.458333,,34.291667,29.75,,59.166667,37.666667,,40.8,55.652174,60.041667,,,,58.916667,28.833333,,93.333333,92.916667,92.916667,24.083333,,,,,,,,48.75,,40.666667,,65.041667,,,,18.5,,,,,29.5,,36.75,37.25,27.208333,41.916667,32.5,79.083333,32.833333,,86.25,63.666667,72.5,61.875,,2.291667,,,,,,,31.291667,,26.833333,,,18.25,31.041667,59.666667,51.666667,20.541667,,,,78.333333,,,,,,,76.166667,,59.041667,,,,,25.826087,38.086957,,,81.875,,24.333333,16.5,24.478261,42.916667,19.666667,34.791667,
2012-01-04,,68.666667,42.375,,,70.708333,,,,83.904167,,,,,,,81.333333,84.125,65.625,,81.166667,41.833333,,27.0,18.041667,30.125,,37.875,,13.333333,22.833333,27.75,25.125,22.833333,,,,71.875,,,,,,83.958333,82.958333,73.125,31.291667,18.958333,16.875,,31.583333,26.291667,,54.416667,30.875,,44.875,53.944444,57.583333,,,,38.0,27.666667,,84.5,85.041667,74.625,27.583333,,,,,,,,42.166667,,31.833333,,60.583333,,,,15.791667,,,,,30.458333,,39.666667,37.083333,20.791667,34.913043,33.066667,73.125,37.375,,81.041667,63.708333,64.583333,58.0,,2.0,,,,,,,30.041667,,27.583333,,,18.625,30.125,52.583333,30.958333,12.875,,,,70.041667,,,,,,,67.875,,53.833333,,,,,23.958333,43.583333,,,82.0,,12.166667,10.5,18.666667,41.916667,12.916667,24.0,
2012-01-05,,70.208333,48.333333,,,74.833333,,,,93.929167,,,,,,,76.791667,78.291667,67.916667,,82.908333,42.833333,,28.458333,19.041667,34.208333,,39.541667,,14.291667,25.75,30.375,28.583333,24.833333,,,,69.958333,,,,,,84.958333,84.25,76.5,54.875,22.0,18.666667,,34.0,28.0,,39.625,24.625,,28.583333,38.238095,40.0,,,,36.5,29.041667,,71.291667,73.583333,86.833333,30.875,,,,,,,,25.791667,,25.125,,58.541667,,,,17.125,,,,,30.041667,,38.541667,35.125,25.041667,35.208333,32.083333,70.791667,73.458333,,75.083333,63.375,62.333333,52.208333,,,,,,,,,30.875,,26.125,,,16.5,31.5,44.75,22.416667,14.625,,,,67.375,,,,,,,67.958333,,65.5,,,,,28.208333,54.625,,,77.375,,22.291667,17.916667,24.791667,40.166667,18.25,31.952381,
2012-01-06,,73.416667,56.458333,,,78.916667,,,,92.1625,,,,,,,82.0,78.125,73.708333,,78.575,44.375,,32.708333,21.791667,36.166667,,40.125,,15.291667,25.833333,32.041667,28.583333,27.0,,,,68.375,,,,,,84.958333,88.583333,80.208333,56.041667,36.458333,30.75,,48.041667,50.208333,,64.0,48.958333,,54.7,66.65,68.75,,,,63.916667,39.25,,72.875,73.75,88.958333,37.125,,,,,,,,51.791667,,43.958333,,68.208333,,,,26.875,,,,,29.375,,39.791667,44.583333,39.541667,49.5,46.875,79.583333,72.416667,,86.75,74.125,69.541667,70.541667,,,,,,,,,41.708333,,36.708333,,,20.791667,38.333333,57.333333,51.416667,23.75,,,,71.041667,,,,,,,60.416667,,57.541667,,,,,35.208333,54.958333,,,74.75,,52.375,41.75,46.791667,51.416667,39.833333,58.166667,
2012-01-07,,50.875,27.875,,,49.291667,,,,90.441667,,,,,,,83.125,86.208333,37.75,,79.045833,58.875,,24.916667,21.333333,29.333333,,32.166667,,15.333333,23.375,26.333333,24.291667,21.708333,,,,70.666667,,,,,,80.916667,59.333333,48.541667,30.583333,89.416667,65.333333,,79.0,79.291667,,81.458333,76.875,,77.4,82.958333,86.125,,,,82.375,34.75,,78.166667,81.041667,56.833333,36.583333,,,,,,,,74.583333,,79.625,,50.875,,,,26.791667,,,,,29.625,,36.583333,48.416667,38.875,51.958333,50.541667,53.75,76.041667,,47.5,55.416667,51.583333,55.125,,,,,,,,,55.916667,,39.833333,,,22.958333,38.625,81.333333,81.833333,47.708333,,,,53.25,,,,,,,86.958333,,48.125,,,,,47.0,62.291667,,,80.5,,55.958333,39.583333,35.541667,64.666667,34.625,62.25,
2012-01-08,,52.916667,32.875,,,48.75,,,,84.995833,,,,,,,73.875,73.416667,36.75,,75.458333,32.583333,,25.666667,18.875,19.5,,21.833333,,16.0,18.291667,17.666667,22.0,21.666667,,,,68.208333,,,,,,81.583333,62.958333,45.625,20.958333,46.583333,30.208333,,32.583333,50.791667,,56.916667,52.208333,,32.777778,51.818182,54.583333,,,,54.625,14.708333,,69.541667,71.291667,31.125,23.291667,,,,,,,,20.375,,25.333333,,56.125,,,,13.166667,,,,,12.166667,,24.166667,20.208333,11.333333,15.541667,19.0,63.083333,89.875,,65.333333,66.833333,51.375,45.083333,,,,,,,,,23.5,,14.25,,,23.041667,12.833333,63.083333,59.791667,20.958333,,,,60.666667,,,,,,,61.958333,,38.416667,,,,,33.541667,47.125,,,73.041667,,12.833333,12.333333,15.625,44.916667,8.458333,13.25,
2012-01-09,,69.208333,44.041667,,,74.708333,,,,83.954167,,,,,,,64.958333,63.958333,62.125,,73.741667,32.875,,33.583333,26.208333,29.125,,32.083333,,16.416667,27.208333,29.0,29.916667,29.208333,,,,61.125,,,,,,75.666667,77.125,70.291667,26.041667,30.458333,20.833333,,34.208333,34.041667,,48.583333,39.5,,37.791667,43.85,46.708333,,,,42.083333,29.166667,,60.333333,63.166667,46.791667,30.833333,,,,,,,,35.375,,29.208333,,62.416667,,,,20.583333,,,,,23.916667,,35.0,35.0,24.666667,27.25,32.416667,74.166667,80.0,,80.875,64.666667,65.0,45.458333,,,,,,,,,29.875,,21.666667,,,27.958333,26.416667,48.666667,37.916667,19.583333,,,,68.833333,,,,,,,47.916667,,37.833333,,,,,24.25,31.416667,,,67.25,,20.041667,22.0,23.333333,45.625,17.958333,26.625,
2012-01-10,,71.208333,36.708333,,,75.083333,,,,84.666667,,,,,,,61.695652,57.0,55.75,,79.354167,46.416667,,44.875,31.041667,39.666667,,43.416667,,22.5,35.5,40.458333,40.458333,35.125,,,,59.583333,,,,,,72.625,77.125,67.125,29.375,39.958333,34.625,,46.541667,47.291667,,58.875,45.041667,,53.238095,61.045455,63.875,,,,63.125,41.666667,,60.333333,56.833333,59.333333,33.791667,,,,,,,,42.208333,,41.291667,,58.541667,,,,30.916667,,,,,34.0,,44.583333,47.5,40.958333,50.708333,48.25,71.5,61.291667,,72.625,58.708333,65.583333,45.75,,,,,,,,,43.291667,,38.5,,,32.347826,40.25,51.333333,39.666667,29.333333,,,,67.125,,,,,,,71.833333,,47.708333,,,,,30.954545,30.882353,,,81.333333,,43.541667,42.541667,43.291667,54.583333,38.083333,48.375,
